Tiempo	Energía	Energía total
0.0	0.0	0.0
0.001	5.016680555555535E-7	1.229086736111106E-4
0.002	2.0033347222222046E-6	4.908170069444401E-4
0.003	4.505001388888845E-6	0.001103725340277767
0.004	8.006668055555605E-6	0.0019616336736111234
0.005	1.2508334722222351E-5	0.0030645420069444758
0.006	1.801000138888929E-5	0.004412450340277876
0.007	2.45116680555561E-5	0.006005358673611244
0.008	3.201333472222309E-5	0.007843267006944658
0.009	4.0351115979080174E-5	0.009886023414874642
0.01	4.98126842661229E-5	0.01220410764520011
0.011	6.027132233997635E-5	0.014766473973294206
0.012	7.172604220644443E-5	0.017572880340578887
0.013	8.417668165536796E-5	0.02062328700556515
0.014	9.762323947845974E-5	0.023917693672222635
0.015	1.1206571566893334E-4	0.027456100338888668
0.016	1.275041102267561E-4	0.031238507005555246
0.017	1.43938423151923E-4	0.035264913672221135
0.018	1.6136865444443815E-4	0.03953532033888735
0.019	1.790697531802721E-4	0.043872089529166665
0.02	1.9840068068609595E-4	0.04860816676809351
0.021	2.1873471745980657E-4	0.05359000577765261
0.022	2.4006085853023974E-4	0.05881491033990874
0.023	2.6129972585084394E-4	0.06401843283345676
0.024	2.8355119303829525E-4	0.06947004229438233
0.025	3.0647278436605243E-4	0.07508583216968284
0.026	3.3148385281443375E-4	0.08121354393953627
0.027	3.574713326351563E-4	0.08758047649561329
0.028	3.8443929950897766E-4	0.09418762837969953
0.029	4.123896132123713E-4	0.10103545523703096
0.03	4.388191536312114E-4	0.10751069263964678
0.031	4.6866817521247386E-4	0.1148237029270561
0.032	4.99100461085676E-4	0.12227961296599062
0.033	5.308950069150802E-4	0.13006927669419466
0.034	5.632882594208367E-4	0.138005623558105
0.035	5.948036765544265E-4	0.1457269007558345
0.036	6.292462117170654E-4	0.15416532187068102
0.037	6.648127547241471E-4	0.16287912490741605
0.038	7.012724526537347E-4	0.17181175090016498
0.039	7.38313633446843E-4	0.18088684019447654
0.04	7.765642235907329E-4	0.19025823477972956
0.041	8.145367768144481E-4	0.19956151031953978
0.042	8.545795259426902E-4	0.2093719838559591
0.043	8.88344399824532E-4	0.21764437795701033
0.044	9.327945170484154E-4	0.22853465667686176
0.045	9.715017942775447E-4	0.23801793959799847
0.046	0.0010079112790824444	0.2469382633751989
0.047	0.0010456057330413162	0.2561734045951225
0.048	0.0010918561244972998	0.2675047505018385
0.049	0.0011372602725776648	0.27862876678152787
0.05	0.0011803066604152606	0.2891751318017388
0.051	0.0012196820179653173	0.29882209440150276
0.052	0.001270830656676445	0.311353510885729
0.053	0.0013171684507895958	0.32270627044345096
0.054	0.00136410876287605	0.33420664690463225
0.055	0.0014139670126884266	0.3464219181086645
0.056	0.001459512012372923	0.35758044303136616
0.057	0.0015085919186313857	0.3696050200646895
0.058	0.0015573554814051612	0.3815520929442645
0.059	0.0016086444538464901	0.3941178911923901
0.06	0.0016529695508255625	0.4049775399522628
0.061	0.0017052798022209235	0.41779355154412623
0.062	0.0017529890035940022	0.42948230588053055
0.063	0.0018055403683234685	0.4423573902392498
0.064	0.0018631002754173388	0.45645956747724803
0.065	0.0019183970689091022	0.47000728188273005
0.066	0.0019717788651276475	0.48308582195627364
0.067	0.0020223180811853843	0.49546792989041916
0.068	0.0020815255622773556	0.5099737627579521
0.069	0.0021418701189771013	0.5247581791493898
0.07	0.0021936875986509285	0.5374534616694775
0.071	0.0022577587501145316	0.5531508937780603
0.072	0.0023177667476852667	0.5678528531828904
0.073	0.00237293200082549	0.5813683402022451
0.074	0.002423550219293319	0.5937698037268632
0.075	0.002472729205361774	0.6058186553136347
0.076	0.0025289904919077967	0.6196026705174101
0.077	0.0025975214029036317	0.6363927437113898
0.078	0.002652026094874905	0.6497463932443517
0.079	0.0027164988241541095	0.6655422119177569
0.08	0.0027818152859021786	0.6815447450460338
0.081	0.0028241884171490944	0.6919261622015281
0.082	0.0028812512825228663	0.7059065642181023
0.083	0.0029361144756089768	0.7193480465241993
0.084	0.002998112834159296	0.7345376443690276
0.085	0.003055582264311394	0.7486176547562916
0.086	0.0031109280175974146	0.7621773643113666
0.087	0.003179323884155654	0.7789343516181353
0.088	0.0032576224282122087	0.7981174949119911
0.089	0.0033216964031795564	0.8138156187789913
0.09	0.0033907222816521314	0.8307269590047722
0.091	0.003462488632876428	0.8483097150547249
0.092	0.003515301587516989	0.8612488889416623
0.093	0.0035863611794731223	0.8786584889709149
0.094	0.003654413093725645	0.895331207962783
0.095	0.003702005252915853	0.906991286964384
0.096	0.0037725793742326187	0.9242819466869916
0.097	0.003842306107587678	0.9413649963589812
0.098	0.0038864085362118514	0.9521700913719036
0.099	0.0039573923614475036	0.9695611285546384
0.1	0.004025647206292525	0.9862835655416686
0.101	0.004099468429980498	1.004369765345222
0.102	0.004178927024303964	1.0238371209544712
0.103	0.004218735690487818	1.0335902441695155
0.104	0.004269759918689028	1.046091180078812
0.105	0.004311290096832489	1.0562660737239598
0.106	0.004340377519523028	1.063392492283142
0.107	0.004419650170252705	1.0828142917119128
0.108	0.00448095890876969	1.0978349326485741
0.109	0.004556466957519759	1.116334404592341
0.11	0.004636268317574132	1.1358857378056624
0.111	0.004702483633951881	1.1521084903182108
0.112	0.00477621737272945	1.1701732563187153
0.113	0.004850514795107592	1.18837612480136
0.114	0.004900821052923717	1.2007011579663107
0.115	0.004962420122965575	1.2157929301265658
0.116	0.005004195476984247	1.2260278918611405
0.117	0.005082236494093349	1.2451479410528705
0.118	0.005154110027763456	1.262756956802047
0.119	0.005237248131219418	1.2831257921487573
